sym,pnl,pct,why,year,entry_dt,exit_dt,hold,sector,signal_date,entry_price,sl,tp1,tp2,shares,investment,score_pct,rsi,adx,exit_date,exit_price,exit_reason,pnl_pct,hold_days
ADIB,1949.36,8.111,TP1,2022,2022-06-23,2022-06-26,3,بنوك,2022-06-22,9.3436,8.8889,10.1015,10.8594,2675,25000.0,50.0,47.1,20.5,2022-06-26,10.1015,TP1,8.111,3
ADIB,1061.48,4.473,timeout,2022,2022-07-27,2022-08-08,12,بنوك,2022-07-26,9.9866,9.4515,10.8784,11.7702,2551,25477.96,54.0,64.1,15.0,2022-08-08,10.4333,timeout,4.473,12
ADIB,-1482.86,-5.473,SL,2022,2022-09-07,2022-09-19,12,بنوك,2022-09-06,11.6984,11.0582,12.7653,13.8323,2199,25733.78,66.7,59.7,43.7,2022-09-19,11.0582,SL,-5.473,12
ADIB,-1452.34,-5.437,SL,2022,2022-09-21,2022-09-25,4,بنوك,2022-09-20,11.8737,11.2281,12.9497,14.0257,2135,25353.41,64.7,57.6,33.1,2022-09-25,11.2281,SL,-5.437,4
ADIB,-1389.8,-5.274,SL,2022,2022-10-24,2022-11-01,8,بنوك,2022-10-23,11.1723,10.5831,12.1542,13.1362,2235,24980.82,50.0,51.1,38.6,2022-11-01,10.5831,SL,-5.274,8
ARCC,1361.78,7.584,timeout,2022,2022-10-31,2022-11-13,13,بنوك,2022-10-30,3.4688,3.226,4.1625,4.8562,5398,18726.25,60.0,53.3,21.0,2022-11-13,3.7319,timeout,7.584,13
ADIB,2023.08,8.419,TP1,2022,2022-11-15,2022-11-27,12,بنوك,2022-11-14,11.047,10.489,11.9771,12.9071,2259,24957.43,63.3,55.1,28.2,2022-11-27,11.9771,TP1,8.419,12
ADIB,2059.38,8.406,TP1,2022,2022-11-28,2022-11-29,1,بنوك,2022-11-27,11.8737,11.2748,12.8718,13.8699,2143,25453.84,64.0,63.7,22.1,2022-11-29,12.8718,TP1,8.406,1
ADIB,2648.59,10.522,TP1,2022,2022-12-29,2022-12-29,0,بنوك,2022-12-28,14.838,13.9012,16.3992,17.9605,1749,25959.14,49.3,61.6,32.2,2022-12-29,16.3992,TP1,10.522,0
ADIB,2286.54,8.908,timeout,2023,2023-01-02,2023-01-15,13,بنوك,2022-12-29,15.005,13.9546,17.0232,19.0414,1773,26611.55,49.3,63.0,33.7,2023-01-15,16.3417,timeout,8.908,13
ADIB,3861.32,14.532,TP1,2023,2023-01-19,2023-01-29,10,بنوك,2023-01-18,16.1072,14.9797,18.4479,20.7886,1687,27173.21,61.3,59.1,42.9,2023-01-29,18.4479,TP1,14.532,10
ADIB,-2050.37,-7.0,SL,2023,2023-02-01,2023-02-01,0,بنوك,2023-01-31,18.2531,16.9754,21.1781,24.1031,1541,28128.35,56.0,63.9,45.2,2023-02-01,16.9754,SL,-7.0,0
ARCC,608.21,3.19,timeout,2023,2023-02-01,2023-02-13,12,بنوك,2023-01-31,4.9224,4.5779,5.5885,6.2546,4283,21085.71,52.0,54.4,25.7,2023-02-13,5.0794,timeout,3.19,12
ADIB,490.35,2.5,timeout,2023,2023-02-02,2023-02-14,12,بنوك,2023-02-01,17.9024,16.6492,20.983,24.0637,1247,22325.87,67.3,61.1,44.3,2023-02-14,18.35,timeout,2.5,12
ADIB,-2030.6,-7.0,SL,2023,2023-02-15,2023-02-21,6,بنوك,2023-02-14,18.3867,17.0996,21.1673,23.9478,1515,27863.57,72.7,58.4,35.4,2023-02-21,17.0996,SL,-7.0,6
ARCC,2039.52,10.081,TP1,2023,2023-02-15,2023-02-26,11,بنوك,2023-02-14,5.1275,4.8174,5.6444,6.1612,4073,20887.23,47.3,62.6,17.9,2023-02-26,5.6444,TP1,10.081,11
ARCC,189.32,0.981,timeout,2023,2023-03-27,2023-04-09,13,بنوك,2023-03-26,5.7808,5.3762,6.6071,7.4334,4817,27847.52,73.3,59.2,21.5,2023-04-09,5.8375,timeout,0.981,13
ARCC,2282.33,10.39,TP1,2023,2023-04-12,2023-04-12,0,بنوك,2023-04-11,5.8872,5.5202,6.4989,7.1105,3848,22657.78,56.0,59.7,14.6,2023-04-12,6.4989,TP1,10.39,0
ADIB,2684.05,13.182,TP1,2023,2023-04-02,2023-04-18,16,بنوك,2023-03-30,15.389,14.3118,17.4176,19.4463,1356,20875.2,56.0,48.4,26.5,2023-04-18,17.4176,TP1,13.182,16
ARCC,1812.65,6.537,timeout,2023,2023-04-19,2023-05-01,12,بنوك,2023-04-18,6.0771,5.6575,6.7763,7.4756,4790,29109.68,57.3,61.9,20.6,2023-05-01,6.4744,timeout,6.537,12
ADIB,796.71,3.959,timeout,2023,2023-04-27,2023-05-09,12,بنوك,2023-04-26,17.4348,16.2488,19.4115,21.3881,1251,21821.34,54.0,62.5,22.8,2023-05-09,18.125,timeout,3.959,12
ADIB,1009.44,3.701,timeout,2023,2023-05-10,2023-05-22,12,بنوك,2023-05-09,18.1612,17.0602,19.9963,21.8313,1637,29742.92,72.7,61.9,32.8,2023-05-22,18.8333,timeout,3.701,12
ADIB,2944.45,10.137,TP1,2023,2023-05-28,2023-05-30,2,بنوك,2023-05-25,18.562,17.4331,20.4437,22.3253,1615,29984.13,46.0,56.0,33.2,2023-05-30,20.4437,TP1,10.137,2
ADIB,-2203.2,-6.887,SL,2023,2023-06-01,2023-06-08,7,بنوك,2023-05-31,20.2237,18.8309,22.545,24.8662,1518,30709.0,67.3,61.2,36.8,2023-06-08,18.8309,SL,-6.887,7
ADIB,658.06,2.487,timeout,2023,2023-06-20,2023-07-04,14,بنوك,2023-06-19,18.9211,17.5966,21.1798,23.4385,1593,30146.68,60.0,49.9,25.2,2023-07-04,19.3917,timeout,2.487,14
ARCC,-450.57,-1.697,timeout,2023,2023-06-25,2023-07-09,14,بنوك,2023-06-22,6.0771,5.6676,6.7595,7.4419,3718,22598.71,52.0,58.5,30.8,2023-07-09,5.974,timeout,-1.697,14
ADIB,-1575.64,-6.106,SL,2023,2023-07-09,2023-07-09,0,بنوك,2023-07-06,19.8647,18.6518,21.8862,23.9076,1240,24641.74,56.0,58.7,22.8,2023-07-09,18.6518,SL,-6.106,0
ADIB,-29.52,0.201,timeout,2023,2023-07-10,2023-07-24,14,بنوك,2023-07-09,18.729,17.4635,20.8383,22.9475,1589,29775.63,46.7,47.1,21.7,2023-07-24,18.7667,timeout,0.201,14
